"k0","year","","","hh","mm","fecha","variables","files"
"4","2010","1","27","12","0","2010-01-27 12:00:00","RH","MERRA2.2010027.120.resampled.RH.tif"
"4","2010","1","27","12","0","2010-01-27 12:00:00","T","MERRA2.2010027.120.resampled.T.tif"
"4","2010","1","27","12","0","2010-01-27 12:00:00","U","MERRA2.2010027.120.resampled.U.tif"
"4","2010","1","27","12","0","2010-01-27 12:00:00","V","MERRA2.2010027.120.resampled.V.tif"
"4","2010","1","27","15","0","2010-01-27 15:00:00","PS","MERRA2.2010027.150.resampled.PS.tif"
"4","2010","1","27","15","0","2010-01-27 15:00:00","RH","MERRA2.2010027.150.resampled.RH.tif"
"4","2010","1","27","15","0","2010-01-27 15:00:00","T","MERRA2.2010027.150.resampled.T.tif"
"4","2010","1","27","15","0","2010-01-27 15:00:00","U","MERRA2.2010027.150.resampled.U.tif"
"4","2010","1","27","15","0","2010-01-27 15:00:00","V","MERRA2.2010027.150.resampled.V.tif"
"4","2010","1","27","18","0","2010-01-27 18:00:00","PS","MERRA2.2010027.180.resampled.PS.tif"
"4","2010","1","27","18","0","2010-01-27 18:00:00","RH","MERRA2.2010027.180.resampled.RH.tif"
"4","2010","1","27","18","0","2010-01-27 18:00:00","T","MERRA2.2010027.180.resampled.T.tif"
"4","2010","1","27","18","0","2010-01-27 18:00:00","U","MERRA2.2010027.180.resampled.U.tif"
"4","2010","1","27","18","0","2010-01-27 18:00:00","V","MERRA2.2010027.180.resampled.V.tif"
"4","2010","1","28","18","0","2010-01-28 18:00:00","PS","MERRA2.2010028.180.resampled.PS.tif"
"4","2010","1","28","18","0","2010-01-28 18:00:00","RH","MERRA2.2010028.180.resampled.RH.tif"
"4","2010","1","28","18","0","2010-01-28 18:00:00","T","MERRA2.2010028.180.resampled.T.tif"
"4","2010","1","28","18","0","2010-01-28 18:00:00","U","MERRA2.2010028.180.resampled.U.tif"
"4","2010","1","28","18","0","2010-01-28 18:00:00","V","MERRA2.2010028.180.resampled.V.tif"
"4","2010","1","29","18","0","2010-01-29 18:00:00","PS","MERRA2.2010029.180.resampled.PS.tif"
"4","2010","1","29","18","0","2010-01-29 18:00:00","RH","MERRA2.2010029.180.resampled.RH.tif"
"4","2010","1","29","18","0","2010-01-29 18:00:00","T","MERRA2.2010029.180.resampled.T.tif"
"4","2010","1","29","18","0","2010-01-29 18:00:00","U","MERRA2.2010029.180.resampled.U.tif"
"4","2010","1","29","18","0","2010-01-29 18:00:00","V","MERRA2.2010029.180.resampled.V.tif"
"4","2010","1","30","18","0","2010-01-30 18:00:00","PS","MERRA2.2010030.180.resampled.PS.tif"
"4","2010","1","30","18","0","2010-01-30 18:00:00","RH","MERRA2.2010030.180.resampled.RH.tif"
"4","2010","1","30","18","0","2010-01-30 18:00:00","T","MERRA2.2010030.180.resampled.T.tif"
"4","2010","1","30","18","0","2010-01-30 18:00:00","U","MERRA2.2010030.180.resampled.U.tif"
"4","2010","1","30","18","0","2010-01-30 18:00:00","V","MERRA2.2010030.180.resampled.V.tif"
