Fecha_Hora (yyyy-mm-dd hh:mm:ss);Satelite;AODnm;valor_AOD;estacion_pm
23/03/2010 17:55;A;470;0.208742946;PAL
23/03/2010 17:55;A;470;0.102409765;LMA
23/03/2010 17:55;A;470;0.042143572;DKS
23/03/2010 17:55;A;470;NA;BB1
23/03/2010 17:55;A;470;NA;BB2
24/03/2010 17:00;A;470;0.09524937;LBO
24/03/2010 17:00;A;470;0.094184645;CEN
24/03/2010 17:00;A;470;0.094311476;COR
24/03/2010 17:00;A;470;0.093788378;PAL
24/03/2010 17:00;A;470;0.095588014;LMA
24/03/2010 17:00;A;470;0.095731676;DKS
24/03/2010 17:00;A;470;NA;BB1
24/03/2010 17:00;A;470;NA;BB2
24/03/2010 18:35;A;470;0.118181139;LBO
24/03/2010 18:35;A;470;0.135686964;CEN
24/03/2010 18:35;A;470;0.11960572;COR
24/03/2010 18:35;A;470;0.125954121;PAL
24/03/2010 18:35;A;470;0.109798715;LMA
24/03/2010 18:35;A;470;0.113661848;DKS
24/03/2010 18:35;A;470;NA;BB1
24/03/2010 18:35;A;470;NA;BB2
25/03/2010 17:40;A;470;0.219454706;LBO
25/03/2010 17:40;A;470;0.267049819;CEN
25/03/2010 17:40;A;470;0.24676393;COR
25/03/2010 17:40;A;470;0.250986606;PAL
25/03/2010 17:40;A;470;0.100870647;LMA
25/03/2010 17:40;A;470;0.07090304;DKS
25/03/2010 17:40;A;470;NA;BB1
25/03/2010 17:40;A;470;NA;BB2
26/03/2010 18:25;A;470;0.100414179;LBO
26/03/2010 18:25;A;470;0.085298948;CEN
26/03/2010 18:25;A;470;0.187999994;COR
26/03/2010 18:25;A;470;0.182124138;PAL
26/03/2010 18:25;A;470;0.062863246;LMA
26/03/2010 18:25;A;470;0.070605226;DKS
26/03/2010 18:25;A;470;NA;BB1
26/03/2010 18:25;A;470;NA;BB2
27/03/2010 17:30;A;470;0.230491444;LBO
27/03/2010 17:30;A;470;0.257052094;CEN
27/03/2010 17:30;A;470;0.289722532;COR
27/03/2010 17:30;A;470;0.268578172;PAL
27/03/2010 17:30;A;470;0.195666164;LMA
27/03/2010 17:30;A;470;0.194360122;DKS
27/03/2010 17:30;A;470;NA;BB1
27/03/2010 17:30;A;470;NA;BB2
28/03/2010 18:15;A;470;0.151134759;LBO
28/03/2010 18:15;A;470;0.154582009;CEN
28/03/2010 18:15;A;470;0.209285647;COR
28/03/2010 18:15;A;470;0.18990612;PAL
28/03/2010 18:15;A;470;0.14674376;LMA
28/03/2010 18:15;A;470;0.143881142;DKS
28/03/2010 18:15;A;470;NA;BB1
28/03/2010 18:15;A;470;NA;BB2
31/03/2010 17:05;A;470;0.182070419;LBO
31/03/2010 17:05;A;470;0.174480975;CEN
31/03/2010 17:05;A;470;0.177047759;COR
31/03/2010 17:05;A;470;0.180836946;PAL
31/03/2010 17:05;A;470;0.104824394;LMA
31/03/2010 17:05;A;470;0.112343691;DKS
31/03/2010 17:05;A;470;NA;BB1
31/03/2010 17:05;A;470;NA;BB2
31/03/2010 18:45;A;470;0.061080121;LBO
31/03/2010 18:45;A;470;0.079879932;CEN
31/03/2010 18:45;A;470;0.085118063;COR
31/03/2010 18:45;A;470;0.117365837;PAL
31/03/2010 18:45;A;470;0.061237805;LMA
31/03/2010 18:45;A;470;0.071228042;DKS
31/03/2010 18:45;A;470;NA;BB1
31/03/2010 18:45;A;470;NA;BB2
01/04/2010 17:50;A;470;0.096857235;LBO
01/04/2010 17:50;A;470;0.097992487;CEN
01/04/2010 17:50;A;470;0.098273844;COR
01/04/2010 17:50;A;470;0.099283829;PAL
01/04/2010 17:50;A;470;0.094726369;LMA
01/04/2010 17:50;A;470;0.094558626;DKS
01/04/2010 17:50;A;470;NA;BB1
01/04/2010 17:50;A;470;NA;BB2
05/04/2010 17:25;A;470;0.100641586;LBO
05/04/2010 17:25;A;470;0.105692171;CEN
05/04/2010 17:25;A;470;0.093999997;COR
05/04/2010 17:25;A;470;0.120565906;PAL
05/04/2010 17:25;A;470;0.041054558;LMA
05/04/2010 17:25;A;470;0.0569393;DKS
05/04/2010 17:25;A;470;NA;BB1
05/04/2010 17:25;A;470;NA;BB2
07/04/2010 17:10;A;470;0.112326764;LBO
07/04/2010 17:10;A;470;0.086222544;CEN
07/04/2010 17:10;A;470;0.095562555;COR
07/04/2010 17:10;A;470;0.113943622;PAL
07/04/2010 17:10;A;470;0.103250682;LMA
07/04/2010 17:10;A;470;0.101682045;DKS
07/04/2010 17:10;A;470;NA;BB1
07/04/2010 17:10;A;470;NA;BB2
09/04/2010 18:35;A;470;0.180510029;LBO
09/04/2010 18:35;A;470;0.236428946;CEN
09/04/2010 18:35;A;470;0.19509992;COR
09/04/2010 18:35;A;470;0.22410807;PAL
09/04/2010 18:35;A;470;0.144837901;LMA
09/04/2010 18:35;A;470;0.136405006;DKS
09/04/2010 18:35;A;470;NA;BB1
09/04/2010 18:35;A;470;NA;BB2
16/04/2010 17:05;A;470;0.10282366;LBO
16/04/2010 17:05;A;470;0.118837468;CEN
16/04/2010 17:05;A;470;0.120051898;COR
16/04/2010 17:05;A;470;0.130517647;PAL
16/04/2010 17:05;A;470;0.063295349;LMA
16/04/2010 17:05;A;470;0.036225799;DKS
16/04/2010 17:05;A;470;NA;BB1
16/04/2010 17:05;A;470;NA;BB2
18/04/2010 18:30;A;470;0.408327013;LBO
18/04/2010 18:30;A;470;0.375815302;CEN
18/04/2010 18:30;A;470;0.411953598;COR
18/04/2010 18:30;A;470;0.410826176;PAL
18/04/2010 18:30;A;470;0.396153241;LMA
18/04/2010 18:30;A;470;0.413406104;DKS
18/04/2010 18:30;A;470;NA;BB1
18/04/2010 18:30;A;470;NA;BB2
